18.10.1980,3/51,5.9,0/54,,0/19,,0/1,,,125,3 2.4
5.3.1983*,6/75,8.0,0/33,,0/17,,,,,125,6 4.8
1.12.1984,7/82,8.5,1/44,2.2,0/21,,0/1,,,148,8 5.4
11.7.1987*,8/86,9.3,1/43,2.3,0/19,,,,,148,9 6.1
24.3.1990,7/78,9.0,3/55,5.5,0/14,,,,0/1,148,10 6.8
13.3.1993,9/80,11.3,4/49,8.2,0/16,,,,0/2,147,13 8.8
12.3.1994,10/80,12.5,4/49,8.2,0/16,,,,0/2,147,14 9.5
"",ALP,,LIB,,NP,,CLP,,Other,Total,Female
From,F/Party,% F,F/Party,% F,F/Party,% F,F/Party % F,,F/Party % F,MPs,No. %
26.3.1994,10/80,12.5,5/49,10.2,0/16,,,,0/2,147,15 10.2
25.3.1995,9/79,11.4,5/50,10.0,0/16,,,,0/2,147,14 9.5
2.3.1996,4/49,8.2,17/75,22.7,1/18,5.6,0/1,,1/5 20.0,148,23 15.5
3.10.1998,16/67,23.9,15/64,23.4,2/16,12.5,,,0/1,148,33 22.3
12.8.2000,17/66,25.7,15/64,23.4,2/16,12.5,,,0/2,148,34 23.0
17.3.2001,18/67,26.9,15/63,23.8,2/16,12.5,,,0/2,148,35 23.6
10.11.2001,20/65,30.8,16/68,23.5,2/13,15.4,0/1,,0/3,150,38 25.3
9.10.2004,20/60,33.3,15/74,20.3,2/12,16.7,0/1,,0/3,150,37 24.7
24.11.2007,27/83,32.5,12/55,21.8,1/10,10.0,,,0/2,150,40 26.7
5.12.2009,27/83,32.5,13/55,23.6,1/9,11.1,,,0/3,150,41 27.3
21.8.2010,23/72,31.9,13/60,21.7,0/11,,1/1 100.0,,0/6,150,37 24.7
7.9.2013,20/55,36.4,16/74,21.6,1/15,6.7,1/1 100.0,,1/5 20.0,150,39 26.0
8.2.2014,21/55,38.2,16/74,21.6,1/15,6.7,1/1 100.0,,1/5 20.0,150,40 26.7
2.7.2016*,28/69,40.6,12/60,20.0,1/16,6.3,,,2/5 40.0,150,43 28.7
17.3.2018,29/69,42.0,12/60,20.0,1/16,6.3,,,2/5 40.0,150,44 29.3
18.5.2019,28/68,41.2,13/61,21.3,2/16,12.5,,,3/6 50.0,151,46 30.5
4.7.2020,29/68,42.6,13/61,21.3,2/16,12.5,,,3/6 50.0,151,47 31.1
