electorate,party,party_vote,candidate,candidate_vote,votes_counted,total_votes
Banks Peninsula ,Aotearoa Legalise Cannabis Party,72,,,100.0,42681
Banks Peninsula ,HeartlandNZ,4,,,100.0,42681
Banks Peninsula ,Māori Party,119,,,100.0,42681
Banks Peninsula ,NZ Outdoors Party,31,,,100.0,42681
Banks Peninsula ,ONE Party,53,,,100.0,42681
Banks Peninsula ,Social Credit,14,,,100.0,42681
Banks Peninsula ,Sustainable New Zealand Party,34,,,100.0,42681
Banks Peninsula ,TEA Party,8,,,100.0,42681
Banks Peninsula ,Vision New Zealand,6,,,100.0,42681
Bay of Plenty ,ACT New Zealand,3852,"CARLEY, Bruce",1699,100.0,36973
Bay of Plenty ,Aotearoa Legalise Cannabis Party,146,"COKER, Christopher",426,100.0,36973
Bay of Plenty ,New Conservative,818,"COLMORE, Margaret",672,100.0,36973
Bay of Plenty ,ONE Party,68,"DEVERY, Sharon",85,100.0,36973
Bay of Plenty ,Green Party,1617,"HUGGINS, Pete",1217,100.0,36973
Bay of Plenty ,The Opportunities Party (TOP),573,"JENKINS, Chris",704,100.0,36973
Bay of Plenty ,New Zealand First Party,1114,"LAWRENCE, Tricia Jane",827,100.0,36973
Bay of Plenty ,,,"MONCUR, Angela",479,100.0,36973
Bay of Plenty ,National Party,12361,"MULLER, Todd",16929,100.0,36973
Bay of Plenty ,Labour Party,15467,"WARREN-CLARK, Angie",13457,100.0,36973
Bay of Plenty ,Advance NZ,536,,,100.0,36973
Bay of Plenty ,HeartlandNZ,9,,,100.0,36973
Bay of Plenty ,Māori Party,133,,,100.0,36973
Bay of Plenty ,NZ Outdoors Party,36,,,100.0,36973
Bay of Plenty ,Social Credit,8,,,100.0,36973
Bay of Plenty ,Sustainable New Zealand Party,20,,,100.0,36973
Bay of Plenty ,TEA Party,8,,,100.0,36973
Bay of Plenty ,Vision New Zealand,24,,,100.0,36973
Botany ,Labour Party,14312,"CHEN, Naisi",11890,100.0,31286
Botany ,New Conservative,433,"DE BOER, Dieuwe",482,100.0,31286
Botany ,Sustainable New Zealand Party,19,"FLEMING, Peter",262,100.0,31286
Botany ,National Party,12089,"LUXON, Christopher",16661,100.0,31286
Botany ,ACT New Zealand,2236,"SMITH, Damien",1029,100.0,31286
Botany ,Advance NZ,105,,,100.0,31286
Botany ,Aotearoa Legalise Cannabis Party,36,,,100.0,31286
Botany ,Green Party,942,,,100.0,31286
Botany ,HeartlandNZ,5,,,100.0,31286
Botany ,Māori Party,46,,,100.0,31286
Botany ,NZ Outdoors Party,12,,,100.0,31286
Botany ,New Zealand First Party,467,,,100.0,31286
Botany ,ONE Party,62,,,100.0,31286
Botany ,Social Credit,3,,,100.0,31286
Botany ,TEA Party,108,,,100.0,31286
Botany ,The Opportunities Party (TOP),188,,,100.0,31286
Botany ,Vision New Zealand,23,,,100.0,31286
Christchurch Central ,New Zealand First Party,739,"ARNEIL, Mark",438,100.0,33043
Christchurch Central ,Aotearoa Legalise Cannabis Party,159,"BRITNELL, Michael",447,100.0,33043
Christchurch Central ,,,"CHURCH, Carole",258,100.0,33043
Christchurch Central ,Green Party,4200,"HORN, Chrys",1893,100.0,33043
Christchurch Central ,ACT New Zealand,2062,"JOHNSON, Abigail",859,100.0,33043
Christchurch Central ,,,"LAURIE, Hayden",70,100.0,33043
Christchurch Central ,New Conservative,388,"PRICE, Benjamin",350,100.0,33043
Christchurch Central ,National Party,6648,"STEPHENS, Dale",8332,100.0,33043
Christchurch Central ,Labour Party,17467,"WEBB, Duncan",19755,100.0,33043
Christchurch Central ,ONE Party,68,"WEBB, Ken",110,100.0,33043
Christchurch Central ,Advance NZ,225,,,100.0,33043
Christchurch Central ,HeartlandNZ,2,,,100.0,33043
Christchurch Central ,Māori Party,92,,,100.0,33043
Christchurch Central ,NZ Outdoors Party,18,,,100.0,33043
Christchurch Central ,Social Credit,17,,,100.0,33043
Christchurch Central ,Sustainable New Zealand Party,17,,,100.0,33043
Christchurch Central ,TEA Party,9,,,100.0,33043
Christchurch Central ,The Opportunities Party (TOP),687,,,100.0,33043
Christchurch Central ,Vision New Zealand,13,,,100.0,33043
Christchurch East ,Green Party,2778,"BERRY, Nikki",2076,100.0,34024
Christchurch East ,ONE Party,104,"EASON, Paula Maree",142,100.0,34024
Christchurch East ,New Conservative,706,"HOUGHTON, Helen",901,100.0,34024
Christchurch East ,Aotearoa Legalise Cannabis Party,162,"LAMBERT, Paula",556,100.0,34024
Christchurch East ,,,"McCONNELL, Glen",288,100.0,34024
Christchurch East ,National Party,5779,"PLATT, Lincoln",6881,100.0,34024
Christchurch East ,ACT New Zealand,2152,"SEVERIN, Toni",1108,100.0,34024
Christchurch East ,NZ Outdoors Party,50,"STAPLES, Charlotte",169,100.0,34024
Christchurch East ,Labour Party,20302,"WILLIAMS, Poto",21336,100.0,34024
Christchurch East ,Advance NZ,259,,,100.0,34024
Christchurch East ,HeartlandNZ,8,,,100.0,34024
Christchurch East ,Māori Party,105,,,100.0,34024
Christchurch East ,New Zealand First Party,868,,,100.0,34024
Christchurch East ,Social Credit,16,,,100.0,34024
Christchurch East ,Sustainable New Zealand Party,26,,,100.0,34024
Christchurch East ,TEA Party,5,,,100.0,34024
Christchurch East ,The Opportunities Party (TOP),450,,,100.0,34024
Christchurch East ,Vision New Zealand,20,,,100.0,34024
Coromandel ,Labour Party,17584,"BLOMFIELD, Nathaniel James",15035,100.0,41180
Coromandel ,,,"BRLJEVICH, Tony",703,100.0,41180
Coromandel ,New Conservative,651,"EGLETON, Michael",831,100.0,41180
Coromandel ,Green Party,2167,"GREALEY, Pamela",2656,100.0,41180
Coromandel ,NZ Outdoors Party,96,"HART, Steven",333,100.0,41180
Coromandel ,The Opportunities Party (TOP),298,"HUNTER, Rob",320,100.0,41180
Coromandel ,ACT New Zealand,4093,"OLSEN, David Edward",1306,100.0,41180
Coromandel ,National Party,13871,"SIMPSON, Scott",19241,100.0,41180
Coromandel ,,,"WESSEX, Bob",28,100.0,41180
Coromandel ,Advance NZ,588,,,100.0,41180
Coromandel ,Aotearoa Legalise Cannabis Party,101,,,100.0,41180
Coromandel ,HeartlandNZ,10,,,100.0,41180
Coromandel ,Māori Party,80,,,100.0,41180
Coromandel ,New Zealand First Party,1262,,,100.0,41180
Coromandel ,ONE Party,87,,,100.0,41180
Coromandel ,Social Credit,12,,,100.0,41180
Coromandel ,Sustainable New Zealand Party,23,,,100.0,41180
Coromandel ,TEA Party,5,,,100.0,41180
Coromandel ,Vision New Zealand,12,,,100.0,41180
Dunedin ,Social Credit,51,"ANJAIYA-WINDER, Zariah",166,100.0,39203
Dunedin ,Green Party,7001,"BRAZIL, Jack",5752,100.0,39203
Dunedin ,Labour Party,21625,"CLARK, David",20806,100.0,39203
Dunedin ,New Zealand First Party,867,"GRIFFITH, Robert",714,100.0,39203
Dunedin ,New Conservative,343,"KING, Solomon",400,100.0,39203
Dunedin ,The Opportunities Party (TOP),1068,"PETERS, Ben",2141,100.0,39203
Dunedin ,ACT New Zealand,2106,"STEELE-MACINTOSH, Callum",1121,100.0,39203
Dunedin ,National Party,5514,"WOODHOUSE, Michael",7485,100.0,39203
Dunedin ,Advance NZ,176,,,100.0,39203
Dunedin ,Aotearoa Legalise Cannabis Party,64,,,100.0,39203
Dunedin ,HeartlandNZ,1,,,100.0,39203
Dunedin ,Māori Party,114,,,100.0,39203
Dunedin ,NZ Outdoors Party,31,,,100.0,39203
Dunedin ,ONE Party,51,,,100.0,39203
Dunedin ,Sustainable New Zealand Party,32,,,100.0,39203
Dunedin ,TEA Party,6,,,100.0,39203
Dunedin ,Vision New Zealand,9,,,100.0,39203
East Coast ,Green Party,1893,"AKUHATA-BROWN, Meredith",1535,100.0,36612
East Coast ,Labour Party,18053,"ALLAN, Kiri",18367,100.0,36612
East Coast ,,,"BROWN, Jennie",617,100.0,36612
East Coast ,ONE Party,178,"KING, Veronica",229,100.0,36612
East Coast ,New Conservative,407,"NICKERSON, Helena",321,100.0,36612
East Coast ,National Party,10321,"TAPSELL, Tania",13721,100.0,36612
East Coast ,ACT New Zealand,2932,"WEBB, Blake",1112,100.0,36612
East Coast ,Advance NZ,538,,,100.0,36612
East Coast ,Aotearoa Legalise Cannabis Party,94,,,100.0,36612
East Coast ,HeartlandNZ,5,,,100.0,36612
East Coast ,Māori Party,225,,,100.0,36612
East Coast ,NZ Outdoors Party,42,,,100.0,36612
East Coast ,New Zealand First Party,1309,,,100.0,36612
East Coast ,Social Credit,10,,,100.0,36612
East Coast ,Sustainable New Zealand Party,7,,,100.0,36612
East Coast ,TEA Party,5,,,100.0,36612
East Coast ,The Opportunities Party (TOP),290,,,100.0,36612
East Coast ,Vision New Zealand,85,,,100.0,36612
East Coast Bays ,Labour Party,12656,"HERNANDEZ, Monina",9718,100.0,32142
East Coast Bays ,Green Party,1859,"JONES, Dan",1738,100.0,32142
East Coast Bays ,NZ Outdoors Party,30,"KOEKEMOER, Marius",130,100.0,32142
East Coast Bays ,TEA Party,137,"KRUGER, Susanna",233,100.0,32142
East Coast Bays ,ACT New Zealand,2908,"McCOOK, Michael",1132,100.0,32142
East Coast Bays ,National Party,12592,"STANFORD, Erica",17789,100.0,32142
East Coast Bays ,New Conservative,562,"WEBSTER, Matthew",767,100.0,32142
East Coast Bays ,Advance NZ,163,,,100.0,32142
East Coast Bays ,Aotearoa Legalise Cannabis Party,50,,,100.0,32142
East Coast Bays ,HeartlandNZ,3,,,100.0,32142
East Coast Bays ,Māori Party,48,,,100.0,32142
East Coast Bays ,New Zealand First Party,559,,,100.0,32142
East Coast Bays ,ONE Party,26,,,100.0,32142
East Coast Bays ,Social Credit,11,,,100.0,32142
East Coast Bays ,Sustainable New Zealand Party,24,,,100.0,32142
East Coast Bays ,The Opportunities Party (TOP),329,,,100.0,32142
East Coast Bays ,Vision New Zealand,8,,,100.0,32142
Epsom ,,,"AARON, Faith-Joy",124,100.0,32636
Epsom ,Labour Party,11054,"BELICH, Camilla",7563,100.0,32636
Epsom ,The Opportunities Party (TOP),552,"CHRISTIE, Adriana",654,100.0,32636
Epsom ,National Party,13011,"GOLDSMITH, Paul",4840,100.0,32636
Epsom ,,,"HARRIS, Finn",13,100.0,32636
Epsom ,TEA Party,79,"JIANG, Noel",252,100.0,32636
Epsom ,Green Party,3259,"MacDONALD, Kyle",2120,100.0,32636
Epsom ,NZ Outdoors Party,5,"PROCHAZKA, Maia",25,100.0,32636
Epsom ,ACT New Zealand,3607,"SEYMOUR, David Breen",16446,100.0,32636
Epsom ,New Conservative,164,"SUTTON, Norman",187,100.0,32636
Epsom ,Sustainable New Zealand Party,25,"WITHERS, Shannon",52,100.0,32636
Epsom ,Advance NZ,107,,,100.0,32636
Epsom ,Aotearoa Legalise Cannabis Party,16,,,100.0,32636
Epsom ,HeartlandNZ,4,,,100.0,32636
Epsom ,Māori Party,75,,,100.0,32636
Epsom ,New Zealand First Party,492,,,100.0,32636
Epsom ,ONE Party,21,,,100.0,32636
Epsom ,Social Credit,6,,,100.0,32636
Epsom ,Vision New Zealand,7,,,100.0,32636
Hamilton East ,National Party,9328,"BENNETT, David",13308,100.0,32734
Hamilton East ,Green Party,2523,"BHOOI, Rimu",1240,100.0,32734
Hamilton East ,,,"COLEMAN, Matt",51,100.0,32734
Hamilton East ,ACT New Zealand,2322,"DEEDMAN, Myah",589,100.0,32734
Hamilton East ,,,"GIELEN, Jack",17,100.0,32734
Hamilton East ,,,"HENRY, Siggi",211,100.0,32734
Hamilton East ,New Zealand First Party,707,"HUSBAND, Stuart",294,100.0,32734
Hamilton East ,New Conservative,670,"MANDERS, Julie",553,100.0,32734
Hamilton East ,Vision New Zealand,36,"MURPHY, Destry",68,100.0,32734
Hamilton East ,The Opportunities Party (TOP),675,"POCOCK, Naomi",676,100.0,32734
Hamilton East ,Labour Party,15679,"STRANGE, Jamie",15254,100.0,32734
Hamilton East ,Advance NZ,198,,,100.0,32734
Hamilton East ,Aotearoa Legalise Cannabis Party,68,,,100.0,32734
Hamilton East ,HeartlandNZ,5,,,100.0,32734
Hamilton East ,Māori Party,127,,,100.0,32734
Hamilton East ,NZ Outdoors Party,18,,,100.0,32734
Hamilton East ,ONE Party,90,,,100.0,32734
Hamilton East ,Social Credit,14,,,100.0,32734
Hamilton East ,Sustainable New Zealand Party,14,,,100.0,32734
Hamilton East ,TEA Party,16,,,100.0,32734
Hamilton West ,The Opportunities Party (TOP),654,"CARGO, Hayden",787,100.0,33159
Hamilton West ,New Conservative,681,"DU PLOOY, Rudi",509,100.0,33159
Hamilton West ,ONE Party,103,"HETA, Te Rongopai",151,100.0,33159
Hamilton West ,National Party,8778,"MACINDOE, Tim",12525,100.0,33159
Hamilton West ,NZ Outdoors Party,38,"MANSFIELD, Chloe",255,100.0,33159
Hamilton West ,,,"ORMSBY-KINGI, Cherie",352,100.0,33159
Hamilton West ,Labour Party,16956,"SHARMA, Gaurav",16950,100.0,33159
Hamilton West ,ACT New Zealand,2405,"WELDON, Roger",959,100.0,33159
Hamilton West ,Advance NZ,286,,,100.0,33159
Hamilton West ,Aotearoa Legalise Cannabis Party,139,,,100.0,33159
Hamilton West ,Green Party,1815,,,100.0,33159
Hamilton West ,HeartlandNZ,5,,,100.0,33159
Hamilton West ,Māori Party,135,,,100.0,33159
Hamilton West ,New Zealand First Party,879,,,100.0,33159
Hamilton West ,Social Credit,13,,,100.0,33159
Hamilton West ,Sustainable New Zealand Party,17,,,100.0,33159
Hamilton West ,TEA Party,6,,,100.0,33159
Hamilton West ,Vision New Zealand,41,,,100.0,33159
Hutt South ,Labour Party,20987,"ANDERSEN, Ginny",18823,100.0,38658
Hutt South ,NZ Outdoors Party,25,"BEARMAN-RIEDEL, Wilf",85,100.0,38658
Hutt South ,New Zealand First Party,898,"BINDRA, Mahesh",244,100.0,38658
Hutt South ,National Party,8808,"BISHOP, Chris",16531,100.0,38658
Hutt South ,,,"DAKEN, Mishaela",220,100.0,38658
Hutt South ,New Conservative,454,"EARP, Roger",478,100.0,38658
Hutt South ,Green Party,3560,"McINTOSH, Richard",838,100.0,38658
Hutt South ,ACT New Zealand,2249,"PARKINS, Andy",265,100.0,38658
Hutt South ,ONE Party,164,"SHANLY, Edward",163,100.0,38658
Hutt South ,Vision New Zealand,29,"WINIATA, Paris",138,100.0,38658
Hutt South ,The Opportunities Party (TOP),787,"WYLIE-VAN EERD, Ben",452,100.0,38658
Hutt South ,Advance NZ,221,,,100.0,38658
Hutt South ,Aotearoa Legalise Cannabis Party,62,,,100.0,38658
Hutt South ,HeartlandNZ,3,,,100.0,38658
Hutt South ,Māori Party,156,,,100.0,38658
Hutt South ,Social Credit,9,,,100.0,38658
Hutt South ,Sustainable New Zealand Party,26,,,100.0,38658
Hutt South ,TEA Party,19,,,100.0,38658
Ilam ,Green Party,3609,"BENNETT, David",2384,100.0,36181
Ilam ,National Party,11011,"BROWNLEE, Gerry",14161,100.0,36181
Ilam ,ACT New Zealand,3245,"GILBERT, Paul",1652,100.0,36181
Ilam ,NZ Outdoors Party,35,"JENSEN-WARREN, Heidi",226,100.0,36181
Ilam ,Labour Party,15875,"PALLETT, Sarah",16381,100.0,36181
Ilam ,,,"PENGELLY, Toni",176,100.0,36181
Ilam ,New Conservative,445,"WALMISLEY, Simon",547,100.0,36181
Ilam ,Advance NZ,153,,,100.0,36181
Ilam ,Aotearoa Legalise Cannabis Party,47,,,100.0,36181
Ilam ,HeartlandNZ,7,,,100.0,36181
Ilam ,Māori Party,90,,,100.0,36181
Ilam ,New Zealand First Party,689,,,100.0,36181
Ilam ,ONE Party,36,,,100.0,36181
Ilam ,Social Credit,17,,,100.0,36181
Ilam ,Sustainable New Zealand Party,36,,,100.0,36181
Ilam ,TEA Party,15,,,100.0,36181
Ilam ,The Opportunities Party (TOP),665,,,100.0,36181
Ilam ,Vision New Zealand,5,,,100.0,36181
Invercargill ,Social Credit,78,"AROHA, Winsome",178,100.0,35890
Invercargill ,Labour Party,17050,"CRAIG, Liz",15687,100.0,35890
Invercargill ,Green Party,1136,"FRANCIS, Rochelle Monique",900,100.0,35890
Invercargill ,New Zealand First Party,1102,"GUNN, Joshua",636,100.0,35890
Invercargill ,,,"HAYDEN, Zy",81,100.0,35890
Invercargill ,New Conservative,793,"HONISS, Joshua",670,100.0,35890
Invercargill ,,,"ROHLOFF, Kurt",352,100.0,35890
Invercargill ,National Party,10873,"SIMMONDS, Penny",16372,100.0,35890
Invercargill ,,,"WALKER, Basil",165,100.0,35890
Invercargill ,ONE Party,137,"WEST, Jackie",201,100.0,35890
Invercargill ,ACT New Zealand,3470,,,100.0,35890
Invercargill ,Advance NZ,337,,,100.0,35890
Invercargill ,Aotearoa Legalise Cannabis Party,157,,,100.0,35890
Invercargill ,HeartlandNZ,8,,,100.0,35890
Invercargill ,Māori Party,54,,,100.0,35890
Invercargill ,NZ Outdoors Party,36,,,100.0,35890
Invercargill ,Sustainable New Zealand Party,15,,,100.0,35890
Invercargill ,TEA Party,16,,,100.0,35890
Invercargill ,The Opportunities Party (TOP),353,,,100.0,35890
Invercargill ,Vision New Zealand,8,,,100.0,35890
Kaikōura ,New Zealand First Party,1090,"ARBUCKLE, Jamie",1915,100.0,37551
Kaikōura ,,,"BHAVIK, Prince",10,100.0,37551
Kaikōura ,ACT New Zealand,4359,"EVANS, Richard",1582,100.0,37551
Kaikōura ,Labour Party,16561,"FLIGHT, Matt",13823,100.0,37551
Kaikōura ,New Conservative,705,"GREENSLADE, David John",676,100.0,37551
Kaikōura ,,,"HOWARD, Ted",74,100.0,37551
Kaikōura ,Social Credit,33,"McCASKEY, John",155,100.0,37551
Kaikōura ,Green Party,1856,"McCUBBIN, Richard",1823,100.0,37551
Kaikōura ,ONE Party,221,"MOORE, John Donald",293,100.0,37551
Kaikōura ,NZ Outdoors Party,108,"MORGAN, Darlene",305,100.0,37551
Kaikōura ,,,"ROMANA, Lisa Claire",275,100.0,37551
Kaikōura ,National Party,11538,"SMITH, Stuart",16105,100.0,37551
Kaikōura ,Advance NZ,289,,,100.0,37551
Kaikōura ,Aotearoa Legalise Cannabis Party,92,,,100.0,37551
Kaikōura ,HeartlandNZ,6,,,100.0,37551
Kaikōura ,Māori Party,53,,,100.0,37551
Kaikōura ,Sustainable New Zealand Party,23,,,100.0,37551
Kaikōura ,TEA Party,7,,,100.0,37551
Kaikōura ,The Opportunities Party (TOP),397,,,100.0,37551
Kaikōura ,Vision New Zealand,9,,,100.0,37551
Kaipara ki Mahurangi ,New Conservative,530,"BERRY, Pauline",510,100.0,36048
Kaipara ki Mahurangi ,Green Party,2129,"BROWN, Zephyr",1935,100.0,36048
Kaipara ki Mahurangi ,,,"FORD, David",173,100.0,36048
Kaipara ki Mahurangi ,ACT New Zealand,4211,"HOULBROOKE, Beth",2357,100.0,36048
Kaipara ki Mahurangi ,Labour Party,14144,"LUBECK, Marja",12397,100.0,36048
Kaipara ki Mahurangi ,Social Credit,37,"NEYLON, Callan",172,100.0,36048
Kaipara ki Mahurangi ,National Party,12647,"PENK, Chris",16826,100.0,36048
Kaipara ki Mahurangi ,ONE Party,113,"REEVES, Richard John",143,100.0,36048
Kaipara ki Mahurangi ,New Zealand First Party,938,"STEELE, Brenda",990,100.0,36048
Kaipara ki Mahurangi ,Advance NZ,479,,,100.0,36048
Kaipara ki Mahurangi ,Aotearoa Legalise Cannabis Party,71,,,100.0,36048
Kaipara ki Mahurangi ,HeartlandNZ,6,,,100.0,36048
Kaipara ki Mahurangi ,Māori Party,76,,,100.0,36048
Kaipara ki Mahurangi ,NZ Outdoors Party,44,,,100.0,36048
Kaipara ki Mahurangi ,Sustainable New Zealand Party,48,,,100.0,36048
Kaipara ki Mahurangi ,TEA Party,8,,,100.0,36048
Kaipara ki Mahurangi ,The Opportunities Party (TOP),422,,,100.0,36048
Kaipara ki Mahurangi ,Vision New Zealand,5,,,100.0,36048
Kelston ,National Party,4972,"BEERAM, Bala",5383,100.0,28015
Kelston ,,,"BRETT, Kevin",46,100.0,28015
Kelston ,New Zealand First Party,731,"DEGIA-PALA, Anne",441,100.0,28015
Kelston ,Green Party,2311,"FRASER, Jessamine",1752,100.0,28015
Kelston ,Social Credit,12,"JOBSIS, Jason",26,100.0,28015
Kelston ,,,"KUMEROA, Maureen",201,100.0,28015
Kelston ,ONE Party,87,"LAVAKA TANGIPA, Faye",142,100.0,28015
Kelston ,Aotearoa Legalise Cannabis Party,79,"LYE, Jeff Eric",271,100.0,28015
Kelston ,ACT New Zealand,1252,"PERCIVAL, Matthew",969,100.0,28015
Kelston ,Labour Party,17203,"SEPULONI, Carmel Jean",17594,100.0,28015
Kelston ,New Conservative,369,"TILDSLEY, Leao",489,100.0,28015
Kelston ,Advance NZ,220,,,100.0,28015
Kelston ,HeartlandNZ,3,,,100.0,28015
Kelston ,Māori Party,127,,,100.0,28015
Kelston ,NZ Outdoors Party,10,,,100.0,28015
Kelston ,Sustainable New Zealand Party,11,,,100.0,28015
Kelston ,TEA Party,50,,,100.0,28015
Kelston ,The Opportunities Party (TOP),287,,,100.0,28015
Kelston ,Vision New Zealand,13,,,100.0,28015
Mana ,New Conservative,358,"BARRY, Roy",439,100.0,36288
Mana ,,,"CARTWRIGHT, Helen",313,100.0,36288
Mana ,Labour Party,20857,"EDMONDS, Barbara",21946,100.0,36288
Mana ,,,"GOODE, Richard",61,100.0,36288
Mana ,ONE Party,189,"HARAWIRA, Stephanie",299,100.0,36288
Mana ,National Party,6951,"HAYES, Jo",8703,100.0,36288
Mana ,,,"ILES, Mike",50,100.0,36288
Mana ,Green Party,3464,"LOGIE, Jan",3243,100.0,36288
Mana ,,,"MARSHALL, Gordon",102,100.0,36288
Mana ,,,"PONDER, Edward",269,100.0,36288
Mana ,,,"WALKER, Michael",89,100.0,36288
Mana ,ACT New Zealand,2130,,,100.0,36288
Mana ,Advance NZ,250,,,100.0,36288
Mana ,Aotearoa Legalise Cannabis Party,88,,,100.0,36288
Mana ,HeartlandNZ,4,,,100.0,36288
Mana ,Māori Party,189,,,100.0,36288
Mana ,NZ Outdoors Party,19,,,100.0,36288
Mana ,New Zealand First Party,829,,,100.0,36288
Mana ,Social Credit,9,,,100.0,36288
Mana ,Sustainable New Zealand Party,18,,,100.0,36288
Mana ,TEA Party,5,,,100.0,36288
Mana ,The Opportunities Party (TOP),677,,,100.0,36288
Mana ,Vision New Zealand,41,,,100.0,36288
Māngere ,New Conservative,374,"ALAILIMA, Fuiavailili",575,100.0,21276
Māngere ,Social Credit,9,"CROWTHER, Grant",38,100.0,21276
Māngere ,,,"JONES, Leslie",99,100.0,21276
Māngere ,National Party,2134,"LOHENI, Agnes",2844,100.0,21276
Māngere ,,,"NOOROA, Wayne Tetou",96,100.0,21276
Māngere ,Labour Party,15818,"SIO, Aupito William",15515,100.0,21276
Māngere ,Green Party,871,"SYKES, Peter Brian",1385,100.0,21276
Māngere ,ACT New Zealand,395,,,100.0,21276
Māngere ,Advance NZ,185,,,100.0,21276
Māngere ,Aotearoa Legalise Cannabis Party,60,,,100.0,21276
Māngere ,HeartlandNZ,2,,,100.0,21276
Māngere ,Māori Party,186,,,100.0,21276
Māngere ,NZ Outdoors Party,7,,,100.0,21276
Māngere ,New Zealand First Party,644,,,100.0,21276
Māngere ,ONE Party,50,,,100.0,21276
Māngere ,Sustainable New Zealand Party,8,,,100.0,21276
Māngere ,TEA Party,7,,,100.0,21276
Māngere ,The Opportunities Party (TOP),94,,,100.0,21276
Māngere ,Vision New Zealand,51,,,100.0,21276
Manurewa ,TEA Party,25,"BERNARDO, Wella",101,100.0,20851
Manurewa ,New Zealand First Party,634,"HALL, John",707,100.0,20851
Manurewa ,,,"JACKSON, Linda",176,100.0,20851
Manurewa ,,,"LINAKER, Luella",248,100.0,20851
Manurewa ,New Conservative,373,"PAHULU, Mote",588,100.0,20851
Manurewa ,National Party,2966,"SAMARAKONE, Nuwi",2838,100.0,20851
Manurewa ,ONE Party,54,"SINGH, Rattan",128,100.0,20851
Manurewa ,Green Party,623,"VANO, Lourdes",590,100.0,20851
Manurewa ,,,"VERMUNT, Annalucia",23,100.0,20851
Manurewa ,Vision New Zealand,118,"WILCOX, Sonny",197,100.0,20851
Manurewa ,Labour Party,14884,"WILLIAMS, Arena",14534,100.0,20851
Manurewa ,ACT New Zealand,436,,,100.0,20851
Manurewa ,Advance NZ,143,,,100.0,20851
Manurewa ,Aotearoa Legalise Cannabis Party,49,,,100.0,20851
Manurewa ,HeartlandNZ,4,,,100.0,20851
Manurewa ,Māori Party,127,,,100.0,20851
Manurewa ,NZ Outdoors Party,6,,,100.0,20851
Manurewa ,Social Credit,4,,,100.0,20851
Manurewa ,Sustainable New Zealand Party,10,,,100.0,20851
Manurewa ,The Opportunities Party (TOP),102,,,100.0,20851
Maungakiekie ,ACT New Zealand,2174,"FERGUSSON, Tommy",907,100.0,29313
Maungakiekie ,New Conservative,312,"HOLDER, Philip",361,100.0,29313
Maungakiekie ,National Party,7918,"LEE, Denise",13013,100.0,29313
Maungakiekie ,Green Party,2518,"MENENDEZ MARCH, Ricardo",1852,100.0,29313
Maungakiekie ,Labour Party,14531,"RADHAKRISHNAN, Priyanca",12433,100.0,29313
Maungakiekie ,Advance NZ,147,,,100.0,29313
Maungakiekie ,Aotearoa Legalise Cannabis Party,50,,,100.0,29313
Maungakiekie ,HeartlandNZ,0,,,100.0,29313
Maungakiekie ,Māori Party,106,,,100.0,29313
Maungakiekie ,NZ Outdoors Party,12,,,100.0,29313
Maungakiekie ,New Zealand First Party,634,,,100.0,29313
Maungakiekie ,ONE Party,50,,,100.0,29313
Maungakiekie ,Social Credit,4,,,100.0,29313
Maungakiekie ,Sustainable New Zealand Party,18,,,100.0,29313
